AC Type,City,Cn/Ln,Country,Date,Location,Operator,Registration,Route,Summary,Time,Aboard,Aboard Crew,Aboard Passangers,Crashes,Fatalities,Fatalities Crew,Fatalities Passangers,Flight #,Ground
Eurocopter EC 130B4,Grand Canyon,7091, Arizona,2/10/2018,"Grand Canyon, Arizona",Papillon,N155GC,Sightseeing,The helicopter was observed making strange manoeuvres before clipping a cliff which snapped off its tail end. The aircraft then plummeted 600ft to the base of a gorge. There were strong winds in the area at the time of the accident.,12/30/1899 5:31:00 PM,7,1,6,1,3,0,3,,0
Antonov AN-148-100,Argunovo,27015040004, Russia,2/11/2018,"Argunovo, Russia",Saratov Airlines,RA-61704,Moscow - Orsk,"The regional airliner took off from Moscow at 1422. Six minutes later, after reaching an altitude of 6,000 feet, contact was lost with the aircraft. The plane then lost altitude at an accelerated rate until it impacted the ground and disintegrated. Wreckage was scattered over a wide area of over 1 km. Authorities confirmed the aircraft was intact until the time of impact. There were discrepancies between the air speed readings on the captain's side compared to the standby airspeed indicator.",12/30/1899 2:31:00 PM,71,6,65,1,71,6,65,703,0
ATR 72-212,Kohangan village,391, Iran,2/18/2018,"Kohangan village, Iran",Iran Aseman Airlines,EP-ATS,Tehran - Yasuj,"The airliner was on approach to Yasuj Airport and descending when it crashed into Mt. Dena, 14 miles north of the airport. Poor weather with fog was reported at the time of the accident.  The crew action which caused dangerous conditions for the flight.  Continuing to the Yasouj airport for landing against the operation manual of the company, due to low altitude ceiling of the cloud and related cloud mass. Descending to unauthorized altitude below minimum of the route and MSA.",12/30/1899 9:32:00 AM,66,6,60,1,66,6,60,,0
Antonov An-26,Latakia,10107, Syria,3/6/2018,"Latakia, Syria",Military - Russian Air Force,RF-92955/52,Kuweires Air Base - Latakia-Khmeimim Air Base,"While on approach to Latakia-Khmeimim Air Base, the military transport plane crashed 1,600 feet short of the runway. The aircraft approached with a tail wind and was caught by a windshear on finals.",12/30/1899 2:51:00 PM,39,6,33,1,39,6,33,,0
Eurocopter AS 350B2,New York,7654, New York,3/11/2018,"New York, New York",Liberty Helicopters,N350LH,Sightseeing,The sightseeing helicopter suddenly lost power and crashed in the East River. Two passengers were killed. Three other passengers later died in the hospital.,12/30/1899 7:08:00 PM,6,1,5,1,5,0,5,,0
de Havilland Canada DHC-8-402Q Dash 8,Kathmandu,BS4041, Nepal,3/12/2018,"Kathmandu, Nepal",US-Bangla Airlines,S2-AGU,Dhaka - Kathmandu,"After getting clearance to land, the aircraft was observed flying low. Soon after, the plane impacted terrain and caught fire. The cause of the accident was due to disorientation and  complete loss of situational awareness of the crew.",12/30/1899 2:15:00 PM,71,4,67,1,51,4,47,221,0
Ilyushin 76-TD,Boufarik AB,1043419636, Algeria,4/11/2018,"Boufarik AB, Algeria",Military - Algerian Air Force,7T-WIP,Boufarik AB - Bechar - Tindouf,The Algerian military plane crashed soon after takeoff in a field and burst into flames. The plane was totally destroyed.,12/30/1899 8:00:00 AM,257,10,247,1,257,10,247,,0
Boeing 737-7H4,NW of Philadelphia,27880/601, Pennsylvania,4/17/2018,"NW of Philadelphia, Pennsylvania",Southwest Airlines,N722SW,New York - Dallas,"While climbing to FL320, the No. 1 engine suffered an uncontained catastrophic failure. Shrapnel struck and broke a window which resulted in explosive decompression. A woman passenger sitting in the window seat was partially sucked out of the window. Passengers were able to pull her back in the cabin but she was reported in cardiac arrest and soon after died. The crew declared an emergency and landed safely at Philadelphia airport.",12/30/1899 10:04:00 AM,149,5,144,1,1,0,1,1380,0
Lockheed HC-130H Hercules,Port Wentworth,382-4110, Georgia,5/2/2018,"Port Wentworth, Georgia",Military - US Air Force,65-0968,Savannah - Tuscon,A Porto Rico Air National Guard plane crashed onto a highway shortly after taking off from Savannah/Hilton International Airport. The aircraft went into a left bank and crashed to the ground. It was flying to Tucson where it was to be decommissioned. The aircraft was over 50 years old.,12/30/1899 11:30:00 AM,9,9,0,1,9,9,0,,0
Boeing 737-201,Havana,21816/592, Cuba,5/18/2018,"Havana, Cuba",Cubana (leased from Global Air),XA-UHZ,Havana- Holguin,"After taking off from runway 06 at Havana-José MartÃ­ Airport and while in the initial climb, the airliner initiated a right turn and then descended until it struck power lines and a railway track before disintegrating in a wooded area. The actions of the crew and their errors in the weight and balance calculations, which led to the loss of control and collapse of the aircraft during the takeoff stage.",12/30/1899 12:08:00 PM,113,6,107,1,112,6,106,972,0
Convair CV-340,Pretoria,215, South Africa,7/10/2018,"Pretoria, South Africa",Rovos Air,ZS-BRV,Test Flight,"Shortly after takeoff from runway 29, the left engine failed and the crew was unable to gain sufficient height. The captain was cleared to make an emergency landing. While approaching runway 29 from the east, the airplane went out of control, struck the roof of a building and crashed in a field located about 6 km southeast of the airport. The flight engineer was killed along with a person on the ground.",12/30/1899 7:44:00 AM,19,3,16,1,1,1,0,,1
Junkers JU-52,Flims,6595, Switzerland,8/4/2018,"Flims, Switzerland",Ju Air,HB-HOT,Locorno - Dubendorf,"The vintage aircraft crashed onto Piz Segnas mountain while on a sightseeing flight. The plane plunged almost vertically at high speed and crashed at an elevation of 8,000 ft.",12/30/1899 4:55:00 PM,20,3,17,1,20,3,17,,1
Boeing 737-8BK,Chuuk,33024/1688, Micronesia,9/28/2018,"Chuuk, Micronesia",Air Niugini,P2-PXE,Pohnpei - Chuuk,The aircraft was approaching for a landing at Chuuk/Weno Airport in rain when it landed in a lagoon 500 feet short of the runway. A passenger was found in the plane 3 days after the accident.,12/30/1899 10:10:00 AM,47,12,35,1,1,0,1,,0
Boeing 737-MAX 8,Off Jakarta,43000/7058, Indonesia,10/29/2018,"Off Jakarta, Indonesia",Lion Air,PK-LQP,Jakarta - Pangkal Pinang,"The airliner crashed into the Jakarta Sea, 13 minutes after taking off from Soekarno-Hatta International Airport. It was on a short 1 hour flight to Pangkal Pinang. After taking off from runway 25L, the aircraft made a climbing left-hand turn after which the crew radioed a request to return too the airport. The aircraft then showed an erratic pattern of flight and began losing altitude until it crashed into the sea, 9 miles off the Jakarta coast. It was reported the plane had problems the night before on a flight from Denpasar to Jakarta.  It was found that there is a potential for repeated automatic nose-down trim commands of the horizontal stabilizer when the flight control system on a Boeing 737 MAX aircraft receives an erroneously high single AOA sensor input.",12/30/1899 6:31:00 AM,189,8,181,1,189,8,181,610,0
Boeing 757-N23,Georgetown,30233/895, Guyana,11/6/2018,"Georgetown, Guyana",Fly Jamaica Airways,N524AT,Georgetown - Toronto,"After taking off and reaching FL200, the crew reported a hydraulic problem and circled back to Georgetown Airport. The aircraft touched down on runway 06 but went off the runway and came to rest against the airport perimeter fence. Six people were injured. One person died of their injuries several days later.",12/30/1899 2:53:00 AM,128,8,120,1,1,0,1,,0
Boeing 707-3J9C,Karaj,21128/917, Iran,1/14/2019,"Karaj, Iran",Saha Air,EP-CPP,Bishkek - Payam,"The cargo plane was operated by the Iranian Air Force. The plane was to land on runway 30 at Payham Airport but instead landed on runway 31L at Fat'h Airport. Runway 30 is more than twice as long as runway 31L.The plane went off the runway, smashed through an airport wall separating the airport from a residential neighborhood, broke up and caught fire. Only the fight engineer survived.",12/30/1899 8:30:00 AM,16,3,13,1,15,2,13,,0
Boeing 767-375ER,Houston,25865, Texas,2/23/2019,"Houston, Texas",Atlas Air serving Amazon,N1217A,Miami - Houston,ATC lost radar contact with the cargo jet when it was 30 miles southeast of George Bush International Airport. The plane crashed into Trinity Bay and broke apart in muddy water about 5 feet deep.,12/30/1899 12:45:00 PM,3,3,0,1,3,3,0,3591,0
Douglas DC-3,Vereda La Bendicion,:33105/16357, Colombia,3/9/2019,"Vereda La Bendicion, Colombia",Laser Aereo Colombia,HK-2494,San Jose - Villavicencio,"While on approach to land, the crew contacted ATC and declared an emergency after which the airplane crashed in flames in a palm grove, 35 km south of La Vanguardia Airport. The crew reported engine problems.",12/30/1899 10:40:00 AM,14,3,11,1,14,3,11,,0
Boeing 737 Max 8,Bishoftu,63450/7243, Ethiopia,3/10/2019,"Bishoftu, Ethiopia",Ethiopian Airlines,ET-AVJ,Addis Ababa - Nairobi,"The internationally scheduled airliner crashed 6 minutes after taking off from Addis Ababa-Bole Airport. The pilot sent out a distress call and was given clearance to return to the airport. The crash site, some 31 miles southeast of the airport, contained a smoky crater with small pieces of wreckage. The accident might have been related to a software error on he Max 8..",12/30/1899 8:44:00 AM,157,8,149,1,157,8,149,302,0
Pilatus-Britten Norman BN-2B-27 Islander,Puerto Montt,2169, Chile,4/16/2019,"Puerto Montt, Chile",Archipelagos Service Aereos,CC-CYR,Puerto Montt - Ayacara,"While the aircraft was in the initial climb, plane lost height and crashed in flames into a house located in a residential area about 400 meters from the airfield.",12/30/1899 11:00:00 AM,6,1,5,1,6,1,5,,0
Canadair CL-600-2B16-Challenger,Near Monclava,5043, Mexico,5/5/2019,"Near Monclava, Mexico",TVPX Aircraft Solutions,N601VH,Las Vegas - Monterrey,"The aircraft crashed while en route on a return trip from Las Vegas to Monterrey, Mexico.",12/30/1899 6:30:00 PM,13,2,11,1,13,2,11,,0
Sukhoi Superjet-100-95B,Moscow,95135, Russia,5/5/2019,"Moscow, Russia",Aeroflot Russian International Airlines,RA-89098,Moscow - Murmansk,"Forty-five minutes after taking off from Moscow's Sheremetyevo Airport, the plane returned to make an emergency landing. About 16-21nm west of Sheremetyevo Airport there was a thunderstorm. The aircraft was climbing through 7,900 feet when an electrical failure occurred, the flight control system degraded to ""DIRECT MODE"", the autopilot automatically disconnected; the aircraft was in the middle of thunderstorm activity. The captain assumed manual control of the aircraft until the end of the flight. The crew decided to return to Sheremetyevo and performed a manual ILS approach to runway 24L. At the time the aircraft intercepted the glideslope the aircraftâ€™s mass was above the maximum landing weight. The crew deployed the flaps to 25 degrees in accordance with the flight crew operating manual for flight with minimum mode (DIRECT MODE) of the FCS as well as landing above MLW. At 15:26Z the crew set the emergency transponder code. Vapp was determined to be 155 KIAS, the descent on the glideslope was stabilised and without any deviation from Vapp. Descending between 1,100 and 900 feet the crew received 5 cycles of predictive windshear warnings. Descending through 260 feet AGL the aircraft began to deviate below the glide slope, a â€˜GLIDESLOPEâ€™ warning occurred. Descending between 180 to 40 feet the engine thrust was increased causing the aircraft to accelerate to 164 knots. At 16 feet AGL the speed was 170 KIAS. A Terrain Awareness Warning System aural signal â€˜Retardâ€™ occurred. The engine thrust was reduced to idle. At that point the captain began to apply oscillating pitch inputs with increasing amplitude which changed the pitch angle up to +6 and -2 degrees. The aircraft made a ""three point"" touchdown 900 meters past the runway threshold at 158 KIAS and a vertical load of +2.55G and bounced up to 6 feet AGL. The spoilers did not deploy. In DIRECT MODE they are not permitted to operate automatically and need to be extended manually, however the spoilers were not manually extended by the crew. Two seconds after the first touchdown the aircraft touched down a second time with the nose gear first at 155 KIAS and +5.85G. The aircraft bounced off again to 18 feet AGL. A third touchdown occurred at 140 KIAS in excess of +5G resulting in the destruction of the construction, a fuel spill and fire.",12/30/1899 6:30:00 PM,78,5,73,1,41,1,40,,0
Antonov An-32,Near Lipo,1009, India,6/3/2019,"Near Lipo, India",Military - Indian Air Force,K2752,Jorhat-Rowriah - Mechuka,Crashed about 34km WNW of Mechuka.,12/30/1899 1:00:00 PM,13,8,5,1,13,8,5,,0
Beechcraft B300 King Air,Rawalpindi,B766, India,7/30/2019,"Rawalpindi, India",Military - Pakistan Army,766,Training,"The Pakistani military plane, on a training flight, crashed into residential structures in Mora Kalu Village on the outskirts of Rawalpindi. The aircraft was destroyed killing 18 people, including the 2 pilots, 3 crew members and 14 civilians on the ground.",12/30/1899 2:00:00 AM,5,5,0,1,5,5,0,,14
Convair CV-440F,Toledo,393, Ohio,9/11/2019,"Toledo, Ohio",Private,	N24DR,Millington - Toledo,"The Cargo plane was preparing to land at Toledo when it crash into a truck repair shop, one-half mile short of the runway. Both persons aboard were killed.",12/30/1899 2:28:00 AM,2,2,0,1,2,2,0,,0
Antonov An-12BK,Lviv,8345604, Ukraine,10/4/2019,"Lviv, Ukraine",Ukraine Air Alliance,UR-CAH,Vigo - Lviv - Istanbul,"The chartered cargo plane, planning to stop for refueling at Lviv, and continue on to Istanbul, ran out of fuel and crashed less than a mile from the runway into brush.",12/30/1899 7:29:00 AM,8,7,1,1,5,4,1,4050,0
Dornier 228-201,Goma,8030, Democratic Republic of Congo,11/24/2019,"Goma, Democratic Republic of Congo",Busy Bee Congo,9S-GNH,Goma - Beni,The passenger plane crashed about a minute after taking off from Goma Airport into the Mapendo neighborhood.,12/30/1899 9:15:00 AM,19,2,17,1,19,2,17,,7
Fokker 100,Almaty,11496, Kazakhstan,12/27/2019,"Almaty, Kazakhstan",Bek Air,UP-F100,Almaty - Nursultan Nazabavev,"While taking off, the tail of the plane struck the runway twice, the aircraft lost altitude, went through a perimeter fence and crashed into a two-story building 700 meters from the end of the runway. There was no fire.",12/30/1899 7:22:00 AM,98,3,95,1,12,1,11,,0
